Date,aapl,tsla
2011-09-08,11.74747085571289,4.722000122070312
2011-09-09,11.54380226135254,4.593999862670898
2011-09-12,11.61903190612793,4.576000213623047
2011-09-13,11.76215362548828,4.815999984741211
2011-09-14,11.905271530151367,4.868000030517578
2011-09-15,12.017199516296388,4.964000225067139
2011-09-16,12.24778175354004,5.159999847412109
2011-09-19,12.58815097808838,5.15399980545044
2011-09-20,12.643810272216797,5.202000141143799
2011-09-21,12.60374641418457,5.170000076293945
2011-09-22,12.288145065307615,5.125999927520752
2011-09-23,12.36398983001709,5.276000022888184
2011-09-26,12.329434394836426,5.104000091552734
2011-09-27,12.209861755371094,5.23799991607666
2011-09-28,12.14105224609375,4.918000221252441
2011-09-29,11.944110870361328,4.823999881744385
2011-09-30,11.661231994628906,4.877999782562256
